parameter_set,epsilon,solver,embedding_precision,block_size,q,q_bits,power2_ceiling,absolute_gap,relative_gap,acceptance_ratio,expected_attempts,SD,RD,log2_renyi_minus_one,exact_linf_svp,heuristic_bkz,global_svp_certified,interval_post_verified,selected,status
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,4223548494518025526604584697806225591199958422,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,4175317714650696943810482642557967303762814266,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1569467524660515935845409966831811720902248613,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1036382665329665072119662708894343861958317040,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,3642232855319846080084735384620499444818882693,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,6248083045310027088049808060346655027679448346,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,11442845117004293586678619136281144065337205738,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,8836994927014112578713546460554988482476640085,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,6231144737023931570748473784828832899616074432,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,3625294547033750562783401109102677316755508779,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1019444357043569554818328433376521733894943126,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
