parameter_set,epsilon,solver,embedding_precision,block_size,q,q_bits,power2_ceiling,absolute_gap,relative_gap,acceptance_ratio,expected_attempts,SD,RD,log2_renyi_minus_one,exact_linf_svp,heuristic_bkz,global_svp_certified,interval_post_verified,selected,status
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,4359,13,8192,3833,0.46789550781250000000000000000000000000000000000000,0.53210449218750000000000000000000000000000000000000,1.8793301215875200734113328745125028676301904106446,0.00013013248597277989302162818221979532344320705626462,1.0192580652393611258136848702358625002247663386290,-5.6983934196040845507412483811330120667366765429263,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,4476,13,8192,3716,0.45361328125000000000000000000000000000000000000000,0.54638671875000000000000000000000000000000000000000,1.8302055406613047363717605004468275245755138516533,0.000078301224222947080325203442446092585684174233730053,1.0000763835865178924260121327858080077449192418450,-13.676377812526927273343357508594355801237701792464,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,4593,13,8192,3599,0.43933105468750000000000000000000000000000000000000,0.56066894531250000000000000000000000000000000000000,1.7835837143479207489658175484432832571304158502068,0.00012796872537215546432279894447967335902753704489780,1.0001210193283841585422042173325473388358794190758,-13.012474896206133649651273689852722635677957420936,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,4710,13,8192,3482,0.42504882812500000000000000000000000000000000000000,0.57495117187500000000000000000000000000000000000000,1.7392781316348195329087048832271762208067940552017,0.00020915601325295644444947990301546593085193998485355,1.0003037055194890676330398420949548054420231060807,-11.685039251527622412449691100172299612595501985818,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,4954,13,8192,3238,0.39526367187500000000000000000000000000000000000000,0.60473632812500000000000000000000000000000000000000,1.6536132418247880500605571255551069842551473556722,0.00014307873192130862006780044654922089828535848388664,1.0132132342270452843357741030665427275856134812518,-6.2418725489114268800519160723213366732225329345536,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,5071,13,8192,3121,0.38098144531250000000000000000000000000000000000000,0.61901855468750000000000000000000000000000000000000,1.6154604614474462630644843226188128574245710905147,0.000079699361156700455066740259118473893967864505182493,1.0000603104151076593323756076571751265067526866455,-14.017233309348296595435422867198512549349014107903,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,5305,13,8192,2887,0.35241699218750000000000000000000000000000000000000,0.64758300781250000000000000000000000000000000000000,1.5442035815268614514608859566446748350612629594722,0.00017013501995856406134737096840864746251597523581857,1.0002080394229948945735540399991350850067352746493,-12.230855437865698689411015986380957920204408094670,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,5666,13,8192,2526,0.30834960937500000000000000000000000000000000000000,0.69165039062500000000000000000000000000000000000000,1.4458171549594069890575361807271443699258736321920,0.00011673511762041610388883970495020067422543610059128,1.0003891717139434607984862544561913872561540096210,-11.327305524611522443065520891112682991555165290025,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,5783,13,8192,2409,0.29406738281250000000000000000000000000000000000000,0.70593261718750000000000000000000000000000000000000,1.4165657962994985301746498357254020404634272868753,0.000096734659441124281634172916802152464694349642683223,1.0001291238472317905081365764371954954296256501662,-12.918956910229901290352743962456925463588932576248,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,6338,13,8192,1854,0.22631835937500000000000000000000000000000000000000,0.77368164062500000000000000000000000000000000000000,1.2925213000946670874092773745661091827074786999053,0.00021095609002729089212987925703655705415021408775409,1.4028681953129300984794499689430613914434790764596,-1.3116201793870863888902737560247826331217105490540,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,6378,13,8192,1814,0.22143554687500000000000000000000000000000000000000,0.77856445312500000000000000000000000000000000000000,1.2844151771715271244904358733145186578864847914707,0.00012015946719096165002620138965597239201563015329198,1.0001896432390747057520447244618646149868245451832,-12.364424440172820688549966899575661566446494537339,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,6495,13,8192,1697,0.20715332031250000000000000000000000000000000000000,0.79284667968750000000000000000000000000000000000000,1.2612779060816012317167051578137028483448806774442,0.00012892048283289011654220408695728799967464850728123,1.0002580604844499576242190454676897345680313969618,-11.920003134098227540545455891499741065906243824868,false,true,false,true,false,renyi_requirement_failed
