parameter_set,epsilon,solver,embedding_precision,block_size,q,q_bits,power2_ceiling,absolute_gap,relative_gap,acceptance_ratio,expected_attempts,SD,RD,log2_renyi_minus_one,exact_linf_svp,heuristic_bkz,global_svp_certified,interval_post_verified,selected,status
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,29753,15,32768,3015,0.092010498046875000000000000000000000000000000000000,0.90798950195312500000000000000000000000000000000000,1.1013343192283131112828958424360568682149699189998,0.000034149207950277963237382483176162849873341250463557,1.4299030544012236599305221463549073485500333920260,-1.2179167343827463058341011853825775281630293153379,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,30348,15,32768,2420,0.073852539062500000000000000000000000000000000000000,0.92614746093750000000000000000000000000000000000000,1.0797416633715566099907736918413074996704889943324,0.000031046443601404872407922669088515287988766022172228,1.4018142975743105292980359557021127565174824119118,-1.3153991951452542138195333047749431908871482881971,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,30465,15,32768,2303,0.070281982421875000000000000000000000000000000000000,0.92971801757812500000000000000000000000000000000000,1.0755949450188741178401444280321680617101591990809,0.000027251782349844074126770927932955204745623616372548,1.3964201734261262308379488053879047197199337102537,-1.3348977131871837822991687663270176940923755843736,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,31060,15,32768,1708,0.052124023437500000000000000000000000000000000000000,0.94787597656250000000000000000000000000000000000000,1.0549903412749517063747585318737926593689632968448,0.000021779878098434188459165914965484412218230717911402,1.3696179479883175394327226756199061120444968292969,-1.4358932817344226360100831586176146965835934842921,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,31177,15,32768,1591,0.048553466796875000000000000000000000000000000000000,0.95144653320312500000000000000000000000000000000000,1.0510312089039997434005837636719376463418545722808,0.000024544636537082559100872633728433034440560118182607,1.3644680718018891719393328505870069265379290658485,-1.4561356580323091946428483394268592414758837656935,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,31538,15,32768,1230,0.037536621093750000000000000000000000000000000000000,0.96246337890625000000000000000000000000000000000000,1.0390005707400596106284482211934808802080030439470,0.000032648124863800327494785616712543770056274029431672,1.3488193466914828286890393594244903502771090967186,-1.5194480358452974245573224965926088410964845389594,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,31772,15,32768,996,0.030395507812500000000000000000000000000000000000000,0.96960449218750000000000000000000000000000000000000,1.0313483570439380586680095681732342943472239707919,0.000020293805339974372982580564752722649235914406455612,1.3388659946956563075459354914142197296310319478047,-1.5612132256824959957680913459335565395197994780170,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,31889,15,32768,879,0.026824951171875000000000000000000000000000000000000,0.97317504882812500000000000000000000000000000000000,1.0275643638872338423907930634388033491172504625419,0.000030776146716786942453286468062824654732085296476594,1.3339441498548009152136936668709541874560050330510,-1.5823212540591566552617317280158352185649994378271,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,32133,15,32768,635,0.019378662109375000000000000000000000000000000000000,0.98062133789062500000000000000000000000000000000000,1.0197616157843961036940217222170354464257927986805,0.000038985756892159337403753887702073517857020898083767,1.3237952171104979693800168535918609133863457047179,-1.6268464196296148806444839082699877964395402588849,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,32250,15,32768,518,0.015808105468750000000000000000000000000000000000000,0.98419189453125000000000000000000000000000000000000,1.0160620155038759689922480620155038759689922480620,0.000032020520111019322682960441277728191491819290521013,1.3189832481857985760168523249324704073027628933620,-1.6484474338873857205952654262657338471788496556206,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,32484,15,32768,284,0.0086669921875000000000000000000000000000000000000000,0.99133300781250000000000000000000000000000000000000,1.0087427656692525551040512252185691417313138776013,0.000029968103693392398851690826763911610990003032635756,1.3094634010008254664777433143218793539483060423935,-1.6921592971337048210327276001100702029204088354616,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,32845,16,65536,32691,0.49882507324218750000000000000000000000000000000000,0.50117492675781250000000000000000000000000000000000,1.9953113107017810930126351042776678337646521540569,0.000038742249256960854496116196345281805424302259032969,1.2950431099580928828147146056256622112414581199402,-1.7610023269254803979170937994017964132946095612938,false,true,false,true,false,renyi_requirement_failed
