scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetition_index,repetitions,samples_per_repetition,total_cycles,cycles_per_sample,timer_overhead,attempts,rejections,random_bits,random_bytes,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,checksum,status,reason
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,1,2,1000,75890,75.890000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,0,0,0,0,0,9080531672061293286,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,8,1,2,1000,70790,70.790000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,1000,0,0,0,0,9080531672061293286,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,0,2,1000,30232,30.232000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,0,2,1000,23556,23.556000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,0,2,1000,82642,82.642000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,0,0,0,0,0,134342319232772063,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,8,0,2,1000,52382,52.382000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,125,1000,0,0,0,0,1,134342319232772063,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,1,2,1000,47976,47.976000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,1,2,1000,32800,32.800000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,1,2,1000,74266,74.266000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,0,0,0,0,0,7136625737050131726,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,8,1,2,1000,50974,50.974000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,125,1000,0,0,0,0,1,7136625737050131726,available,
