scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetition_index,repetitions,samples_per_repetition,total_cycles,cycles_per_sample,timer_overhead,attempts,rejections,random_bits,random_bytes,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,checksum,status,reason
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,1,2,1000,94794,94.794000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,0,0,0,0,0,0,0,2305614652651945825,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,4,1,2,1000,72428,72.428000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,250,1000,0,0,0,0,1,2305614652651945825,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,0,2,1000,97962,97.962000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,0,0,0,0,0,0,0,4541964646831120921,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,4,0,2,1000,124638,124.638000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,0,0,1000,0,0,0,0,4541964646831120921,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,1,2,1000,120148,120.148000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,0,0,0,0,0,0,0,4541964646831120921,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,4,1,2,1000,116104,116.104000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,0,0,1000,0,0,0,0,4541964646831120921,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,0,2,1000,49254,49.254000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,0,0,0,0,0,0,0,5508103314724780671,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,4,0,2,1000,60092,60.092000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,250,1000,0,0,0,0,1,5508103314724780671,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,1,2,1000,80622,80.622000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,0,0,0,0,0,0,0,5508103314724780671,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,4,1,2,1000,94372,94.372000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,250,1000,0,0,0,0,1,5508103314724780671,available,
