scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetition_index,repetitions,samples_per_repetition,total_cycles,cycles_per_sample,timer_overhead,attempts,rejections,random_bits,random_bytes,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,checksum,status,reason
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,8,0,2,1000,70216,70.216000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,1000,0,0,0,0,14182699557661808669,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,1,2,1000,75890,75.890000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,0,0,0,0,0,9080531672061293286,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,8,1,2,1000,70790,70.790000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,1000,0,0,0,0,9080531672061293286,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,0,2,1000,82642,82.642000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,0,0,0,0,0,134342319232772063,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,8,0,2,1000,52382,52.382000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,125,1000,0,0,0,0,1,134342319232772063,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,1,2,1000,74266,74.266000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,0,0,0,0,0,7136625737050131726,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,8,1,2,1000,50974,50.974000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,125,1000,0,0,0,0,1,7136625737050131726,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,0,2,1000,99068,99.068000,66,1245,245,8715,1245,1.245000000,0.245000000,0.803212851,0.796875000,8.715000000,1.245000000,4,35,0,0,0,0,0,0,0,13324492243160281534,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,8,0,2,1000,133594,133.594000,66,1245,245,8715,1245,1.245000000,0.245000000,0.803212851,0.796875000,8.715000000,1.245000000,4,35,0,0,1000,0,1245,245,0,13324492243160281534,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,1,2,1000,88314,88.314000,66,1253,253,8771,1253,1.253000000,0.253000000,0.798084597,0.796875000,8.771000000,1.253000000,4,35,0,0,0,0,0,0,0,6891783120381831670,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,8,1,2,1000,115160,115.160000,66,1253,253,8771,1253,1.253000000,0.253000000,0.798084597,0.796875000,8.771000000,1.253000000,4,35,0,0,1000,0,1253,253,0,6891783120381831670,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,0,2,1000,66232,66.232000,66,1245,245,8715,1245,1.245000000,0.245000000,0.803212851,0.796875000,8.715000000,1.245000000,4,35,0,0,0,0,0,0,0,15351951849572278058,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,8,0,2,1000,49566,49.566000,66,1245,245,8715,1245,1.245000000,0.245000000,0.803212851,0.796875000,8.715000000,1.245000000,4,35,125,1000,0,0,1245,245,1,15351951849572278058,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,1,2,1000,69088,69.088000,66,1253,253,8771,1253,1.253000000,0.253000000,0.798084597,0.796875000,8.771000000,1.253000000,4,35,0,0,0,0,0,0,0,6681122775174641756,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,8,1,2,1000,51236,51.236000,66,1253,253,8771,1253,1.253000000,0.253000000,0.798084597,0.796875000,8.771000000,1.253000000,4,35,125,1000,0,0,1253,253,1,6681122775174641756,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,0,2,1000,168208,168.208000,66,1000,0,72000,9000,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,0,0,0,0,0,0,0,267129573602659466,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,4,0,2,1000,264104,264.104000,66,1000,0,72000,9000,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,0,0,1000,0,0,0,0,267129573602659466,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,1,2,1000,97454,97.454000,66,1000,0,72000,9000,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,0,0,0,0,0,0,0,16636802608930019800,available,
